modelo,meses_disponibles,nombre_variable,sector,frecuencia_seleccion_pct,impacto_absoluto_medio_todos_pronosticos_pp,impacto_medio_firmado_pp,reduccion_error_media_pp,proporcion_veces_ayudo_pct,periodo_impacto_maximo,ranking_importancia,modelo_etiqueta
dfm_lasso_sin_ar1,1,"PIM-PF categorias economicas | Brasil | 210 Alimentos e bebidas básicos, destinados principalmente à indústria | PIMPF - Número-índice (2022=100)",real,1.2658227848101269,0.0003813235186659,-0.0301245579746138,0.0301245579746138,100.0,2012-T1,94.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF indicadores especiales | Brasil | 5.4.5 Bens de consumo semi e não duráveis por atividade - Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados | PIMPF - Número-índice (2022=100)",real,1.2658227848101269,0.0003758267776448,-0.0296903154339416,-0.0296903154339417,0.0,2026-T1,95.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,gasto publico tesouro: dotacion actualizada,fiscal,1.2658227848101269,0.0003637366737917,-0.0287351972295468,-0.0287351972295468,0.0,2022-T1,96.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PMC actividades complementarias | Brasil | Índice de receita nominal de vendas no comércio varejista | Combustíveis e lubrificantes | PMC - Número-índice (2022=100),real,8.860759493670885,0.0003625361890188,0.0006017167307517,0.000486909817822,71.42857142857143,2013-T4,97.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,gasto publico tesouro: comprometido,fiscal,2.5316455696202533,0.0003607237349596,0.0135887434633654,0.0135887434633654,50.0,2023-T1,98.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF indicadores especiales | Brasil | 3.1 Embalagens de vidro | PIMPF - Número-índice (2022=100),real,6.329113924050633,0.0003546771683571,0.0045380075788348,0.0053827324711425,80.0,2020-T4,99.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,"PIM-PF grupos y clases | Brasil | 10.11 Abate de reses, exceto suínos | PIMPF - Número-índice (2022=100)",real,6.329113924050633,0.0003422153149936,-0.0033864097797535,0.0033093406673865,80.0,2021-T1,100.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 14.2 Fabricação de artigos de malharia e tricotagem | PIMPF - Número-índice (2022=100),real,1.2658227848101269,0.0003387003849352,0.0267573304098881,0.0267573304098881,100.0,2025-T1,101.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,Exportações - veículos comerciais leves - montados - qde.,real,5.063291139240507,0.0003189729553399,0.0022001906044941,0.0062997158679632,100.0,2009-T2,102.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,PIM-PF grupos y clases | Brasil | 10.7 Fabricação e refino de açúcar | PIMPF - Número-índice (2022=100),real,2.5316455696202533,0.0003154440383618,0.0119023354887856,0.0119023354887857,50.0,2012-T2,103.0,DFM · LASSO sin AR1
dfm_lasso_sin_ar1,1,ibc br: mensual agropecuaria sin ajuste pct,real,6.329113924050633,0.0003030407626937,-0.0042486173265987,-0.0027563270818027,40.0,2022-T1,104.0,DFM · LASSO sin AR1
